Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S1452:  ""Remove usage of generic wildcard type.""",CRITICAL,20min,Key: AXaPGVrv8LKHpH7XnENA Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/base/MultipleSourceTaskParameter.java - startLine: 42;startOffset: 16;endOffset: 17;endLine: 42,Maintenance (Code Smells)
To-Do,New,Normal,"java:S131:  ""Complete cases by adding the missing enum constants or add a default case to this switch.""",CRITICAL,5min,Key: AXaPGV0K8LKHpH7XnEQk Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/TransitionUtils.java - startLine: 95;startOffset: 8;endOffset: 14;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,"java:S131:  ""Complete cases by adding the missing enum constants or add a default case to this switch.""",CRITICAL,5min,Key: AXaPGV0K8LKHpH7XnEQl Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/TransitionUtils.java - startLine: 116;startOffset: 8;endOffset: 14;endLine: 116,Maintenance (Code Smells)
To-Do,New,Normal,"java:S131:  ""Complete cases by adding the missing enum constants or add a default case to this switch.""",CRITICAL,5min,Key: AXaPGV0K8LKHpH7XnEQm Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/TransitionUtils.java - startLine: 137;startOffset: 8;endOffset: 14;endLine: 137,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3252:  ""Use static access with javax.imageio.ImageWriteParam for MODE_EXPLICIT.""",CRITICAL,5min,Key: AXaPGV2D8LKHpH7XnERj Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-image-writers/src/main/java/org/sejda/core/writer/model/ImageOptimizer.java - startLine: 84;startOffset: 62;endOffset: 75;endLine: 84,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5361:  ""Replace this call to replaceAll() by a call to the replace() method.""",CRITICAL,2min,Key: AXaPGVxa8LKHpH7XnEOa Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/support/prefix/processor/NumberPrefixProcessor.java - startLine: 109;startOffset: 50;endOffset: 60;endLine: 109,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1452:  ""Remove usage of generic wildcard type.""",CRITICAL,20min,Key: AXaPGVq48LKHpH7XnEMr Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/input/PdfMergeInput.java - startLine: 62;startOffset: 21;endOffset: 22;endLine: 62,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1452:  ""Remove usage of generic wildcard type.""",CRITICAL,20min,Key: AXaPGVrf8LKHpH7XnEM8 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/base/MultiplePdfSourceTaskParameters.java - startLine: 44;startOffset: 19;endOffset: 20;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1452:  ""Remove usage of generic wildcard type.""",CRITICAL,20min,Key: AXaPGVr38LKHpH7XnENC Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/base/SinglePdfSourceTaskParameters.java - startLine: 35;startOffset: 14;endOffset: 15;endLine: 35,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1452:  ""Remove usage of generic wildcard type.""",CRITICAL,20min,Key: AXaPGVyR8LKHpH7XnEOq Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/context/SejdaContext.java - startLine: 50;startOffset: 9;endOffset: 10;endLine: 50,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1452:  ""Remove usage of generic wildcard type.""",CRITICAL,20min,Key: AXaPGVx88LKHpH7XnEOi Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/notification/context/EventListenerHoldingStrategy.java - startLine: 77;startOffset: 23;endOffset: 24;endLine: 77,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5361:  ""Replace this call to replaceAll() by a call to the replace() method.""",CRITICAL,2min,Key: AXaPGVxd8LKHpH7XnEOb Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/support/prefix/processor/TimestampPrefixProcessor.java - startLine: 43;startOffset: 22;endOffset: 32;endLine: 43,Maintenance (Code Smells)
